American,British,Australian,South African,Jamaican
18-wheeler,juggernaut,juggernaut,juggernaut,big truck
a little bit,a spot,a spot,a spot,a little bit
absentee ballot,postal vote,postal vote,postal vote,absent vote
acetaminophen,paracetamol,paracetamol,paracetamol,paracetamol
ad,advert,advert,advert,ad
airplane,aeroplane,aeroplane,aeroplane,aeroplane
aisle,gangway,gangway,gangway,aisle
alfalfa,lucerne,lucerne,lucerne,lucerne
all-purpose flour,plain flour,plain flour,plain flour,white flour
allen wrench,allen key,allen key,allen key,allen key
alley,mews,mews,mews,alley
allowance,pocket money,pocket money,pocket money,pocket money
football,American football,grid iron,American football,American football
anise,aniseed,aniseed,aniseed,aniseed
antenna,aerial,aerial,aerial,antenna
apartment,flat,flat/unit,flat,apartment
apartment building,block of flats,block of flats,block of flats,apartment building
appetizer,starter,entree,starter,starter
asphalt,asphalt,bitumen,tar,tar
associate professor,reader,reader,reader,reader
attorney/lawyer,barrister/solicitor,lawyer/solicitor,barrister/solicitor,lawyer/barrister
automobile,motor car,motor car,motor car,car
babysitter,child minder,child minder,child minder,helper
bachelor party,stag night,stag night,stag night,bachelor party
bachelorette party,hen night,hen night,hen night,bachelorette party
backsplash,splashback,splashback,splashback,backsplash
backyard,garden,garden,garden,yard
bacon,rasher,rasher,rasher,bacon
baked potato,jacket potato,jacket potato,jacket potato,jacket potato
baking soda,bicarbonate of soda,bicarbonate of soda,bicarbonate of soda,baking soda
ballpoint pen,Biro,Biro,Biro,pen
band-aid,plaster,plaster,plaster,band-aid/plaster
bangs,fringe,fringe,fringe,bangs
bar,pub,pub,pub,rum bar
barrette,hairslide,hairslide,hairslide,hair clip
bartender,landlord,landlord,landlord,barkeep
baseball,rounders,rounders,rounders,rounders
baseboard,skirting board,skirting board,skirting board,skirting board
bath robe,dressing gown,dressing gown,dressing gown,dressing gown
bathroom,WC,bathroom,bathroom,bathroom
beat,knackered/fagged,knackered/fagged,knackered/fagged,tired
beef jerky,beef jerky,beef jerky,biltong,beef jerky
beet,beetroot,beetroot,beetroot,beetroot
bell pepper,capsicum,capsicum,capsicum,green pepper
belly,belly,belly,boep,belly
beltway,ring road,ring road,ring road,ring road
Big Dipper,The Plough,The Plough,The Plough,Big Dipper
billboard,hoarding,hoarding,hoarding,sign
billfold,wallet,wallet,wallet,wallet
binoculars,field glasses,binoculars,field glasses,binoculars
biscuit,scone,scone,scone,scone
biweekly,fortnightly,fortnightly,fortnightly,fortnightly
blackjack,life preserver,life preserver,life preserver,life preserver
blinker,winker,winker,winker,blinker
breakroom,restroom,restroom,restroom,restroom
broil,grill,grill,grill,grill
bucks,quid,bucks,bucks,dollars
buddies,mates,mates,mates,parry
buffet,set meal,set meal,set meal,set meal
bug,beetle,beetle,beetle,bug
bulletin board,noticeboard,noticeboard,noticeboard,noticeboard
bullhorn,loudhailer,loudhailer,loudhailer,loudspeaker
burglary,house-breaking,house-breaking,house-breaking,house-breaking
busy,engaged,engaged,engaged,busy
butt,bum,bum,bum,bottom
cable tv,pay tv,pay tv,pay tv,cable
cafeteria,refrectory/canteen,canteen,canteen,canteen
camera flash,flashlight,flashlight,flashlight,flash
campground,pitch/campsite,pitch/campsite,pitch/campsite,pitch
can,tin,tin,tin,tin
candy,sweets,sweets/lollies,sweets,sweetie
candy apple,toffee apple,toffee apple,toffee apple,candy apple
cantaloupe,cantaloupe,rockmelon,spanspek,cantaloupe
carousel,roundabout/mery-go-round,roundabout/mery-go-round,roundabout/mery-go-round,merry-go-round
carpeting,fitted carpet,fitted carpet,fitted carpet,carpet
carryall,holdall,holdall,holdall,holdall
cart,trolley,trolley,trolley,trolley
cellphone,mobile,mobile,mobile,celly
CEO,managing director,managing director,managing director,manager
certified mail,recorded delivery,recorded delivery,recorded delivery,registered letter
check,bill,bill,bill,bill
checkers,draughts,draughts,draughts,checkers
checking account,current account,current account,current account,current account
checkmark,tick,tick,tick,tick
chicken,chicken,chook,chicken,chicken
chicken coop,chicken coop,chook shed/chook yard,chicken coop,chicken coop
chief of police,commissioner,commissioner,commissioner,commissioner
chocolate,chocolate,chokkie/choccy,chocolate,chocolate
chutes and ladders,snakes and ladders,snakes and ladders,snakes and ladders,snakes and ladders
cilantro,coriander,coriander,coriander,coriander
clap board,weatherboard,weatherboard,weatherboard,weatherboard
clippings,clippings,cuttings,clippings,clippings
closet,wardrobe/cupboard,wardrobe,wardrobe,closet/hanging shelf
clothes,clothes,duds,clothes,clothes
clothes pin,peg,peg,peg,clothespin
coatroom,cloakroom,cloakroom,cloakroom,cloakroom
cocktail party,drinks party,drinks party,drinks party,drinks party
coffee break,morning tea,smoko/morning tea,morning tea,morning tea
coffee with cream,white coffee,coffee with cream,coffee with cream,coffee
coin purse,purse,purse,purse,coin purse
collect call,reverse charge,reverse charge,reverse charge,collect call
come over,come round,come round,come round,come round
comforter,duvet,doona,duvet,comforter
commercial,ad,ad,ad,ad
common stock,ordinary share,ordinary share,ordinary share,ordinary share
complain,complain,whinge,complain,whine
confused,fogged,confused,deurmekaar,confused
congress,conference,conference,conference,conference
construction,roadwork,roadwork,roadwork,roadwork
convertible top,hood,hood,hood,soft top
cookie sheet,baking tray,baking tray,baking tray,baking tray
cookies,biscuit/bickie,biscuits/biccies,biscuit,biscuit
cooler,cooler,esky,cooler,igloo
cop,bobby,cop,cop,babylon
corn,maize,maize,mealie,corn
corn starch,cornflour,cornflour,cornflour,cornflour
costume,fancy dress,fancy dress,fancy dress,costume
cotton ball,cotton wool,cotton wool,cotton wool,cotton
cotton candy,candy floss,fairy floss,candy floss,cotton candy
counter-clockwise,anti-clockwise,anti-clockwise,anti-clockwise,anti-clockwise
countertop,worktop,kitchen bench,worktop,counter
coveralls,boiler suit,boiler suit,boiler suit,boiler suit
cowboy,drover,jackaroo,drover,cowboy
crackers,biscuits,biscuits,biscuits,crackers
crap,rot,rot,rot,crap
crazy,mad,mad,mal,mad man
crazy person,nutter,nutter,nutter,mad man
crib,cot,cot,cot,crib
criminal,criminal,criminal,skelm/skollie,thief/gunman
cross walk,pedestrian crossing/zebra crossing,pedestrian crossing,pedestrian crossing,pedestrian crossing
crossing guard,lollipop man,lollipop man,lollipop man,crossing guard
cupcake,fairy cake,fairy cake,fairy cake,cupcake
dark chocolate,plain chocolate,plain chocolate,plain chocolate,chocolate
dead on,bang on,bang on,bang on,right
defroster,demister,demister,demister,air
derby hat,bowler,bowler,bowler,hat
dessert,puddings/afters/dessert/sweets,,dessert,cake
detour,diversion,diversion,diversion,detour
diaper,nappy,nappy,nappy,pampers
dim,dip,dip,dip,dip
diner,cafe/caff,cafe,cafe,cookshop
diner,chop house,roadhouse,chop house,restaurant
dining car,restaurant car,restaurant car,restaurant car,dining car
directory asistance,directory enquiries,directory enquiries,directory enquiries,operator
disbarred,struck off,struck off,struck off,struck off
discount store,cut-price shop,cut-price shop,cut-price shop,bargain centre
dish rag,dish mop,dish mop,dish mop,rag
dish towel,tea towel,teatowel,teatowel,kitchen towel
divided highway,dual carriageway,dual carriageway,dual carriageway,highway
dock,quay,quay,quay,wharf
doctor's office,surgery,surgery,surgery,doctor
doghouse,kennel,kennel,kennel,kennel
door jam,door frame,door frame,door frame,door jam
downtown,city centre,CBD,city centre,downtown
draft,draught,draught,draught,beer
drapes,curtain,curtain,curtain,curtain
dresser/bureau,chest of drawers,chest of drawers,chest of drawers,chest of drawers
driver's license,driving licence,driving licence,driving licence,driving licence
drugs,medicine,medicine,muti,drugs
drugstore/pharmacy,chemist,chemist shop,chemist,pharmacy
drunk,pissed,pissed,pissed,drunk
dry erase board,whiteboard,whiteboard,whiteboard,whiteboard
dumpster,skip,skip,skip,garbage bin
duplex,semi-detached house,semi-detached house,semi-detached house,duplex
duvet,doona,doona,doona,comforter
efficiency apartment,bed-sit,bed-sit,bed-sit,efficiency
eggplant,aubergine,aubergine,aubergine,eggplant
electrical outlet,power point,powerpoint,power point,outlet
elementary school,primary school,primary school,primary school,primary school
elevator,lift,lift,lift,elevator
emergency brake,handbrake/parkbrake,handbrake/parkbrake,handbrake/parkbrake,hand brake
emergency room,casualty,casualty,casualty,outpatient
eraser,rubber,rubber,rubber,rubber
eraser (chalkboard),duster (chalkboard),duster (chalkboard),duster (chalkboard),duster (chalkboard)
expressway,motorway,freeway,motorway,toll road
fall,autumn,autumn,autumn,autumn
fanny pack,bum bag,bum bag,bum bag,fanny pack
faucet,tap,tap,tap,pipe
federal holiday,bank holiday,bank holiday,bank holiday,holiday
fender,wing,mud guard,mud guard,mud flap
festive gathering,jollities,party,joll,dance
field,field,paddock,kraal,field
field,pitch,pitch,pitch,pitch
fill the tub,run the bath,run the bath,run the bath,catch water
fire department,fire brigade,fire brigade,fire brigade,fire brigade
fire truck,fire engine,fire engine,fire engine,fire truck
fired,sacked,sacked,sacked,let go
first floor,ground floor,ground floor,ground floor,ground floor
fiscal year,financial year,financial year,financial year,financial year
fish sticks,fish fingers,fish fingers,fish fingers,fish fingers
flapjacks,scotch pancakes,scotch pancakes,scotch pancakes,pancake
flashlight,torch,torch,torch,torch/flashlight/lamp
flatbed truck,low loader,low loader,low loader,truck
flatware/silverware,cutlery,cutlery,cutlery,knife and fork
flip flops,flip flops,thongs,slops,slippers
fool around,muck about/mess about,muck about/mess about,muck about/mess about,waste time
for rent,to let,to let,to let,to let
freight train,goods train,goods train,goods train,train
french fries,chips,chips,slap chips,chips
french toast,eggy bread,eggy bread,eggy bread,french toast
friend,friend/mate,friend/mate,chommie,friend
frosting,icing,icing,icing,icing
furnace,boiler,boiler,geyser,boiler
game,match,match,match,match
garbage can,rubbish bin,rubbish bin,rubbish bin,rubbish bin
garbage dump,rubbish tip,rubbish tip,rubbish tip,rubbish tip
garbage man,dustman,dustman,dustman,garbage man
garbage/trash,rubbish,rubbish,rubbish,rubbish
garden,vegetable patch,vegetable patch,vegetable patch,ground
garden hose,hosepipe,hosepipe,hosepipe,hosepipe
garter,suspenders,suspenders,suspenders,suspenders
gas pedal,accelerator,accelerator,accelerator,accelerator
gas station,petrol station,petrol station,petrol station,petrol station
gasoline,petrol,petrol,petrol,petrol
gearshift,gear-lever,gear-lever,gear-lever,gear stick
German Shepherd,Alsatian,Alsatian,Alsatian,Alsatian/German Shepherd
Girl Scout,Girl Guide,Girl Guide,Girl Guide,Girl Guide
glove compartment,glovebox,glovebox,cubbyhole,glovebox
glue,gum,gum,gum,glue
goof off,muck around,muck around,muck around,waste time
grab bag,lucky dip,lucky dip,lucky dip,grab bag
grade,mark,mark,mark,mark
granola bar,flapjack,flapjack,flapjack,granola bar
green beans,runner beans,runner beans,runner beans,string beans
green onion,spring onion,spring onion,spring onion,scallion
green thumb,green fingers,green fingers,green fingers,green thumb
ground meat,mince,mince,mince,mince meat
ground wire,earth wire,earth wire,earth wire,earth wire
groundskeeper,groundsman,groundsman,groundsman,groundsman
guardrail,crash barrier,crash barrier,crash barrier,crash barrier
guy,bloke,bloke,oke,man
gym shoes,plimsolls,plimsolls,plimsolls,sneakers
hamper,laundry basket,laundry basket,laundry basket,laundry basket
hamster,guinea pig,guinea pig,guinea pig,guinea pig
hand drill,brace and bit,brace and bit,brace and bit,brace and bit
hang out,hang about,hang around,hang about,lyme
hang up,ring off,ring off,ring off,hang up
hardware store,ironmongers,ironmongers,ironmongers,hardware store
hash browns,potato cakes,potato cakes,potato cakes,fried potato
hearing aid,deaf aid,deaf aid,deaf aid,hearing aid
heavy cream,double cream,double cream,double cream,cream
helper,banker,banker,banker,banker
highway,main road,main road,main road,main road
hike,hike,bushwalk,trek,walk
hood (car),bonnet,bonnet,bonnet,bonnet
horn,hooter,hooter,hooter,horn
hot flash,hot flush,hot flush,hot flush,hot flash
hot lunch,school dinner,school dinner,school dinner,cook lunch
housing development,housing estate,housing estate,housing estate,subdivision
housing project,council estate,council estate,council estate,scheme
hub cap,wheel cover,wheel cover,wheel cover,hub cap
hurricane,cyclone,cyclone,cyclone,hurricane
industrial park,trading estate,trading estate,trading estate,plaza
inquiry,enquiry,enquiry,enquiry,enquiry
inseam,inside leg,inside leg,inside leg,inseam
inside lane,outside lane,outside lane,outside lane,outside lane
installment plan,hire purchase,hire purchase,hire purchase,hire purchase
instant replay,action replay,action replay,action replay,instant replay
intermission,interval,interval,interval,intermission
intersection,crossroads/junction,crossroads/junction,stopstreet,crossroads/junction
inventory,stocktaking,stocktaking,stocktaking,stocktaking
Italian ice,water ice,water ice,water ice,shaved ice
jacket,anorak,anorak,anorak,jacket
jacuzzi,spa,spa,spa,jacuzzi
jail,gaol,gaol,gaol,jail
janitor,caretaker/porter,caretaker,caretaker/porter,janitor
jell-o,jelly,jelly,jelly,jelly
jelly,jam,jam,jam,jam
jelly beans,jelly babies,jelly babies,jelly babies,jelly beans
John Doe,Joe Bloggs,Joe Bloggs,Joe Bloggs,John Doe
jump rope,skipping rope,skipping rope,skipping rope,skipping rope
jumper,pinafore dress,pinafore dress,pinafore dress,jumper
jumper cable,jump lead,jump lead,jump lead,jumper cable
jumping jacks,star jumps,star jumps,star jumps,apart together
ketchup,sauce,sauce,sauce,ketchup
knock on wood,touch wood,touch wood,touch wood,knock on wood
knock up,get pregnant,get pregnant,get pregnant,get pregnant
knockout,stunner,stunner,stunner,hot girl
labor union,trade union,trade union,trade union,union
ladybug,ladybird,ladybird,ladybird,ladybug
laid off,redundant,redundant,redundant,redundant
last name,surname,surname,surname,surname
late lunch,tea,tea,tea,tea
laundry,utility room,laundry,utility room,wash room
layer cake,sandwich cake,sandwich cake,sandwich cake,cake
letter opener,paper knife,paper knife,paper knife,letter opener
leverage,gearing,gearing,gearing,leverage
liability insurance,third-party insurance,third-party insurance,third-party insurance,insurance
license plate,number plate/registration plate,number plate/registration plate,number plate/registration plate,license plate
life preserver,lifebelt/lifejacket,lifebelt/lifejacket,lifebelt/lifejacket,lifejacket
line,queue,queue,queue,line
liquor,alcohol,alcohol,dop,rum
liquor cabinet,drinks cupboard,drinks cupboard,drinks cupboard,drinks cupboard
liquor store,off-licence,bottleshop,off-licence/bottle store,rum shop
lobby,reception,reception,reception,lobby
long distance,trunk call,trunk call,trunk call,long distance
longshoreman,docker,wharfie,docker,wharfie
lost and found,lost property,lost property,lost property,lost property
lumber,timber,timber,timber,wood
mail,post/letter,post/letter,post/letter,post/letter
mailbox,postbox/pillar box,postbox/pillar box,postbox/pillar box,postbox
mailman,postman,postie,postman,postman
main street,high street,high street,high street,main road
Mardi Gras,carnival,carnival,carnival,carnival
marinara sauce,napolitana sauce,napolitana sauce,napolitana sauce,tomato sauce
math,maths,maths,maths,maths
median,central reservation,central reservation,central reservation,median
men's room,gents,gents,gents,bathroom
messy,shabby,shabby,shabby,messy
mezzanine,dress circle,dress circle,dress circle,mezzanine
minibus,minibus,minibus,taxi,bus
mist,damp,damp,damp,dew
model unit,show house,show house,show house,show house
mono,glandular fever,glandular fever,glandular fever,fever
more or less,more or less,more or less,plus-minus,more or less
morgue,mortuary,mortuary,mortuary,morgue
mosquito,mosquito,mozzy,mozzie,mosquito
motorcycle,motorbike,motorbike,motorbike,motorbike
movie,film,film,film,film
movies,cinema,pictures,bioscope,movies
muffler,exhaust pipe,exhaust pipe,exhaust pipe,muffler
belly button,navel,belly button,navel,navel
neat,neat,clever,kif,smart
newscaster,newsreader,newsreader,newsreader,news anchor
newsstand,kiosk,newsagency,kiosk,newsstand
nightstand,bedside cabinet,bedside cabinet,bedside cabinet,bedside table
notary public,commisioner of oaths,commisioner of oaths,commisioner of oaths,justice of the peace
note card,greeting card,greeting card,greeting card,card
nylons,stockings,stockings,stockings,stockings
odometer,milometer,milometer,milometer,odometer
officer,constable,constable,constable,officer
one-way,single,single,single,single
open house,open day/open evening,open day/open evening,open day/open evening,open house
operating room,theatre,theatre,theatre,theatre
orchestra seat,stall,stall,stall,orchestra seat
oven mitt,oven glove,oven glove,oven glove,oven mitt
overdraw,overdraft,overdraft,overdraft,overdraft
overpass,flyover,flyover,flyover,bridge
pacifier,dummy,dummy,dummy,suda
paddle,bat,bat,bat,bat
pail,bucket,bucket,bucket,bucket
panties,knickers,undies,knickers,panties
pantry,larder,pantry,larder,cupboard
pants,trousers,trousers,trousers,pants/trousers
paper cutter,guillotine,guillotine,guillotine,paper cutter
parentheses,brackets (round),brackets (round),brackets (round),brackets (round)
parking garage,multistorey,multistorey,multistorey,parking garage
parking lot,car park,car park,car park,car park
paved road,metalled road,paved road,tar road,paved road
pavement/black top,road surface,road surface,road surface,road
penny,pence,pence,pence,coin
period,full stop,full stop,full stop,full stop
pet peeve,pet hate,pet hate,pet hate,pet peeve
pharmacist,chemist,chemist,chemist,pharmacist
phone booth,call box,call box,call box,phone booth
pickle,gherkin,gherkin,gherkin,pickle
pickup truck,pickup truck,ute/utility vehicle,bakkie,pickup
pitcher,jug,jug,jug,jug
plain,moor,field,veld,field
planner,diary,diary,diary,diary
plastic wrap,cling film,cling film,cling film,cling wrap
pocket knife,pen knife,pocket knife,pen knife,pen knife
poll,survey,survey,survey,vox pop
pop,dad,dad,dad,daddy
popsicle,ice lolly,icy pole,ice lolly,kisko
porch,verandah,verandah,stoep,verandah
potato chips,crisps,crisps,crisps,potato chips
pound sign,hash sign,hash sign,hash sign,number sign
powdered sugar,icing sugar,castor sugar,icing sugar,icing sugar
prep school,college,college,college,college
primer,undercoat,undercoat,undercoat,first coat
principal,headmaster,headmaster,headmaster,principal
private school,public school,public school,public school,prep school
proctor,invigilator/invigilate,invigilator/invigilate,invigilator/invigilate,invigilator/invigilate
professor,lecturer,lecturer,lecturer,lecturer
prom,prom,deb ball,prom,dance
public bathroom,public toilet,public toilet,public toilet,public toilet
public school,state school,state school,state school,public school
purse,handbag,handbag,handbag,handbag
push up,press-up,press-up,press-up,push up
quit,finish,finish,finish,finish
quit,resign,resign,resign,resign
rail yard,marshalling yard,marshalling yard,marshalling yard,rail yard
railroad,railway,railway,railway,train track
rain coat,mac/mackintosh,raincoat,raincoat,raincoat
raise,rise,rise,rise,rise
ram,tup,ram,ram,ram goat
ranch house,bungalow,station,bungalow,house
realtor,estate agent,real estate agent,real estate agent,real estate agent
recess,break time/play time,break time/play time,break time/play time,break time
rent,hire,hire,hire,hire
reservation,booking,booking,booking,booking
restroom,water closet,bathroom,toilets,bathroom
resume,CV,CV,CV,CV
retainer,brace,brace,brace,brace
retread,remould,remould,remould,remould
review,revise,revise,revise,revise
rhinestone,diamante,diamante,diamante,diamante
road trip,car journey/car drive,car journey/car drive,car journey/car drive,car journey/car drive
robe,dressing gown,dressing gown,dressing gown,dressing gown
romaine lettuce,cos,cos,cos,lettuce
roommate,housemate/flatmate,housemate/flatmate,housemate/flatmate,housemate/flatmate
root,root,barrack,root,cheer
root beer,ginger beer,ginger ale,ginger beer,soft drinks
round-trip,return,return,return,round-trip
rump roast,silverside,silverside,silverside,rump roast
rubber band,elastic band,elastic band,elastic band,elastic
rutabaga,swede,swede,swede,turnip
sack,sack,bag,packet,bag
sandbox,sandpit,sandpit,sandpit,sandpit
sandwich,butty/sarny,cut lunch,saamie/sarmie,sandwich
sanitary napkin,sanitary towel,sanitary towel,sanitary towel,stayfree
Santa Claus,Father Christmas,Father Christmas,Father Christmas,Santa Claus
sausage,sausage/banger,snag,sausage/banger,breakfast meat
scalper,ticket tout,ticket tout,ticket tout,ticket tout
schedule,timetable,timetable,timetable,timetable
scholarship,scholarship,scholarship,bursary,bursary
scotch tape,celotape,celotape,celotape,tape
scratch pad,scribbling block,scribbling block,scribbling block,writing pad
second floor,first floor,first floor,first floor,second floor
sedan,saloon,saloon,saloon,car
self-rising flour,self-raising flour,self-raising flour,self-raising flour,baking flour
sell,sell,sell,flog,sell
set the table,lay the table,lay the table,lay the table,set the table
sewer,drain,drain,drain,drain
ship,postage and packing,send,postage and packing,post
shipped,sent,sent,sent,sent
shipping,freight,freight,freight,freight
shoeshine,bootblack,bootblack,bootblack,shoe polish
shopping cart,shopping trolley,shopping trolley,shopping trolley,shopping trolley
shopping mall,shopping centre,shopping centre,shopping centre,shopping centre
shots,shorts,shorts,shorts,shots
shoulder,verge,verge,verge,soft shoulder
shrimp,prawns,prawns,prawns,shrimp
sidewalk,pavement,pavement/footpath,pavement,sidewalk
silent partner,sleeping partner,sleeping partner,sleeping partner,sleeping partner
sink,hand basin,hand basin,hand basin,basin
skillet,frying pan,frying pan,frying pan,frying pan
slacks,strides,strides,strides,pants
sled,sledge,sledge,sledge,sled
sliced toast,soldiers,sliced toast,sliced toast,sliced toast
slingshot,catapult,catapult,catapult,catapult
slipcover,loose cover,loose cover,loose cover,slipcover
slowpoke,slowcoach,slowcoach,slowcoach,slowpoke
slut,slag,slut,chot,slut
small talk,natter,natter,natter,chat
snap,press stud,press stud,press stud,press stud
sneakers,trainers,sandshoes,takkies,sneakers
snitch,dobber,dobber,dobber,informer
snow pea,mangetout,mangetout,mangetout,sweet peas
soccer,football,football,football,football
sod,turf,turf,turf,grass
soda,fizzy drink,soft drinks,colddrink,soft drinks
sofa,couch/settee,lounge,couch/settee,couch/settee
solitaire,patience,patience,patience,solitaire
soybeans,soya beans,soya beans,soya beans,soya beans
space heater,electric fire,electric fire,electric fire,electric fire
speakeasy,off licence,off licence,off licence,rum bar
speedboat,engine boat,engine boat,engine boat,boat
speedbump,sleeping policeman/speed bump,sleeping policeman/speed bump,sleeping policeman/speed bump,sleeping policeman/speed bump
spoiled,gone off,spoiled,vrot,spoiled
sprinkles,hundreds and thousands,hundreds and thousands,hundreds and thousands,sprinkles
stall,cubicle,cubicle,cubicle,stall
station wagon,estate car,station wagon,estate car,car
steal,nick,nick,scale,thief
step on,trod on,trod on,trod on,step on
stock option,share option,share option,share option,share option
store,shop,shop,shop,shop
stove,cooker,stove,cooker,cooker
stovetop,hob,hob,hob,stovetop
stroller,pram/pushchair,pram/pushchair,pram/pushchair,stroller/pram
subway,underground railway/tube,underground railway,underground railway,subway
sunbathe,sunbake,sunbake,sunbake,tan
suspenders,braces,braces,braces,suspenders
SUV,four wheel drive,four wheel drive,four wheel drive,car
swamp,bog/mire,bog/mire,bog/mire,morass
sweat suit,sweat suit,tracksuit,sweat suit,tracksuit
sweater,jumper,jumper/pullover,jumper/pullover,sweater
swimming pool,swimming bath,swimming bath,swimming bath,swimming pool
swimsuit,bathing costume,togs,cozzie,bathing suit/bath suit
swiss chard,silver beet,silver beet,silver beet,silver beet
switchblade,flick knife,flick knife,flick knife,flick knife
taffy,chew,chew,chewie,toffee
take out,takeaway,takeaway,takeaway,take out
tangerine,tangerine,tangerine,naartjie,tangerine
tank top,tank top,singlet,tank top,tank top
taxes,rates,rates,rates,taxes
taxi stand,taxi rank,taxi rank,taxi rank,taxi stand
taxpayer,ratepayer,ratepayer,ratepayer,taxpayer
teachers lounge,staff room,staff room,staff room,staff room
telephone booth,phone box,phone box,phone box,telephone booth
teller,cashier,cashier,cashier,cashier
thermos,vacuum flask,vacuum flask,vacuum flask,thermos
third wheel,gooseberry,gooseberry,gooseberry,third wheel
thong,g-string,g-string,g-string,thong
thumb tack/push pin,drawing pin,drawing pin,drawing pin,thumb tack
tic-tac-toe,naughts and crosses,naughts and crosses,naughts and crosses,tic-tac-toe
toilet,water closet,water closet,water closet,toilet
toll road/turnpike,toll motorway,toll motorway,toll motorway,toll road
tote,carrybag,carrybag,carrybag,bag
town house,terrace,terrace,terrace,town house
tractor,prime mover,prime mover,prime mover,tractor
tractor-trailer,articulated lorry,semi-trailer,articulated lorry,trailer
traffic circle,roundabout,roundabout,circle,roundabout
traffic jam,tailback,tailback,tailback,traffic jam
traffic light,traffic light,traffic light,robot,stop light
trail,track,track,track,track
trailer,caravan,caravan,caravan,trailer
trailer trash,bogan,bogan,bogan,trailer trash
trailer truck,roadtrain,roadtrain,roadtrain,trailer
train car,railroad carriage/wagon,railroad carriage/wagon,railroad carriage/wagon,train car
training wheels,stabiliser,stabiliser,stabiliser,training wheels
transmission,gearbox,gearbox,gearbox,gearbox
trash can,dust bin,rubbish bin,dust bin,dust bin
trench coat,duffle coat,duffle coat,duffle coat,trench coat
trolley,tram,tram,tram,tram
truck,lorry,truck,lorry,truck
truck stop,transport cafe,transport cafe,transport cafe,rest stop
trucker,truckie,truckie,truckie,truck driver
trunk,boot,boot,boot,trunk
turn signal,indicator,indicator,indicator,indicator
turtle neck,polo neck,polo neck,polo neck,turtle neck
tuxedo,dinner jacket,dinner suit,dinner jacket,suit
TV,telly,telly,TV,TV
twelve-gauge,twelve-bore,twelve-bore,twelve-bore,twelve-gauge
two weeks,fortnight,fortnight,fortnight,fortnight
undershirt,vest,vest,vest,undershirt
underwear,underpants,underpants,underpants,underwear
uneven bars,asymmetric bars,asymmetric bars,asymmetric bars,uneven bars
university,university,university,varsity,university
unlike,unalike,unalike,unalike,unlike
utility knife,stanley knife,stanley knife,stanley knife,knife
utility pole,pylon,pylon,pylon,light post
vacation,holiday,holiday,holiday,holiday
vacationer,holidaymaker,holidaymaker,holidaymaker,tourist
vacuum cleaner,hoover,hoover,hoover,vacuum
valance,pelmet,pelmet,pelmet,valance
vest,waistcoat,waistcoat,waistcoat,vest
wading pool,paddling pool,paddling pool,paddling pool,pool
wake up,knock up,knock up,knock up,wake up
walker,walking frame,walking frame,walking frame,walker
wallet (women),wallet,purse (women),wallet,purse (women)
wash cloth,flannel,wash cloth,lappie,rag
wax paper,greaseproof paper,greaseproof paper,greaseproof paper,wax paper
wellies/rain boots,wellies,gumboots,wellies,rubber shoes
whole milk,full-cream milk,full-cream milk,full-cream milk,milk
whole-wheat flour,wholemeal flour,wholemeal flour,wholemeal flour,whole-wheat flour
wildfire,bushfire,bushfire,bushfire,fire
windbreaker,windcheater,windcheater,windcheater,windbreaker
windshield,windscreen,windscreen,windscreen,windscreen
witness stand,dock,dock,dock,witness stand
workman,tradesman,tradesman,tradesman,daysworker
wrench,spanner,spanner,spanner,spanner/wrench
yard sale,jumble sale,jumble sale,jumble sale,yard sale
z,zed,zed,zed,zed
zipcode,postcode,postcode,postcode,postcode
zipper,zip,zip,zip,zip
zero,nought,nought,nought,zero
zucchini,courgette,courgette,courgette,squash
